station_id,station_name,in_degree,out_degree,weighted_in_degree,weighted_out_degree
30,Itämerentori,183,171,4933,4799
113,Pasilan asema,200,195,3136,3684
126,Kalasatama (M),192,186,3894,3529
41,Ympyrätalo,199,191,3560,3330
21,Töölönlahdenkatu,169,164,2917,2689
26,Kamppi (M),158,152,2393,2450
137,Arabian kauppakeskus,167,156,2461,2318
541,"Aalto-yliopisto (M), Korkeakouluaukio",131,123,2342,2303
64,Tyynenmerenkatu,134,139,2306,2282
63,Jätkäsaarenlaituri,157,154,2247,2273
71,Hietaniemenkatu,152,146,2305,2250
22,Rautatientori / länsi,167,162,2360,2161
547,Jämeräntaival,108,126,2113,2134
122,Lintulahdenkatu,160,162,2109,2131
6,Hietalahdentori,147,151,2136,2109
121,Vilhonvuorenkatu,176,181,2165,2093
123,Näkinsilta,172,165,2026,2017
19,Rautatientori / itä,160,167,2180,1985
29,Baana,163,150,1965,1922
124,Isoisänsilta,156,145,2047,1912
36,Apollonkatu,170,167,1908,1892
12,Kanavaranta,146,136,1933,1841
40,Hakaniemi (M),167,158,1869,1838
1,Kaivopuisto,125,126,2025,1812
31,Marian sairaala,156,159,1772,1796
39,Ooppera,177,173,1881,1790
75,Korjaamo,165,172,1769,1778
116,Linnanmäki,183,177,1587,1763
45,Brahen kenttä,179,186,1667,1748
16,Liisanpuistikko,146,151,1811,1734
25,Narinkka,160,161,1691,1724
37,Töölönkatu,161,161,1716,1720
89,Tilkanvierto,179,163,1711,1675
57,Lauttasaaren ostoskeskus,158,150,1628,1669
259,Petter Wetterin tie,119,106,1686,1615
44,Sörnäinen (M),171,166,1549,1614
82,Töölöntulli,182,181,1480,1600
62,Välimerenkatu,135,137,1574,1578
72,Eteläinen Hesperiankatu,160,158,1691,1575
118,Fleminginkatu,184,179,1529,1573
76,Olympiastadion,168,159,1584,1558
5,Sepänkatu,139,135,1475,1536
78,Messeniuksenkatu,161,173,1467,1502
94,Laajalahden aukio,178,169,1616,1469
9,Erottajan aukio,146,146,1480,1453
17,Varsapuistikko,159,152,1431,1423
117,Brahen puistikko,164,179,1367,1418
58,Lauttasaarensilta,137,137,1434,1414
4,Viiskulma,135,135,1385,1405
134,Haukilahdenkatu,157,146,1420,1383
90,Paciuksenkaari,184,174,1442,1382
77,Nordenskiöldinaukio,162,173,1359,1379
91,Seurasaari,169,146,1397,1378
581,Niittykumpu (M),95,81,1415,1339
74,Rajasaarentie,156,147,1325,1321
24,Mannerheimintie,141,145,1323,1306
150,Töölönlahden puisto,163,163,1429,1304
61,Länsisatamankatu,117,124,1324,1300
54,Gyldenintie,113,116,1236,1298
133,Paavalinpuisto,148,153,1255,1277
138,Arabiankatu,136,137,1353,1270
201,Länsisatamankuja,119,112,1240,1263
3,Kapteeninpuistikko,121,124,1164,1216
68,Albertinkatu,126,129,1220,1209
202,Merihaka,145,147,1226,1199
162,Leppäsuonaukio,138,147,1081,1180
142,Koskelantie,157,148,1178,1161
23,Kiasma,149,154,1190,1147
56,Luoteisväylä,145,138,1221,1143
69,Kalevankatu,137,136,1103,1139
67,Perämiehenkatu,118,122,1149,1134
125,Arielinkatu,128,146,1190,1102
80,Jäähalli,161,167,1078,1098
101,Munkkivuoren ostoskeskus,141,135,1123,1097
141,Intiankatu,125,125,1065,1096
115,Venttiilikuja,155,155,967,1089
111,Esterinportti,156,165,1043,1087
727,Ratsutori,91,76,1138,1073
140,Verkatehtaanpuisto,110,117,1086,1072
8,Vanha kirkkopuisto,138,145,1140,1063
112,Rautatieläisenkatu,175,161,1151,1061
85,Jalavatie,153,158,948,1045
33,Kauppakorkeakoulu,134,144,941,1037
149,Toinen linja,158,166,1036,1037
239,Viikin tiedepuisto,98,85,1025,1035
38,Töölöntori,153,151,949,1029
260,Herttoniemi (M),88,87,1028,1027
95,Munkkiniemen aukio,160,152,1049,1016
53,Heikkiläntie,116,109,1053,1013
49,Annankatu,131,129,1027,1012
52,Heikkilänaukio,108,103,977,1009
87,Kustaankatu,161,162,861,1008
11,Unioninkatu,136,121,1314,1000
129,Pernajantie,154,154,899,993
28,Lastenlehto,139,141,954,991
120,Mäkelänkatu,152,152,799,981
127,Teurastamo,144,138,1094,980
96,Huopalahdentie,156,145,1006,962
81,Stenbäckinkatu,147,161,945,950
70,Sammonpuistikko,118,136,906,938
161,Eteläesplanadi,138,124,1044,934
43,Karhupuisto,144,159,780,934
625,Suomenlahdentie,73,64,1015,928
73,Kesäkatu,144,148,950,927
573,Urheilupuisto (M),89,88,948,927
20,Kaisaniemenpuisto,130,125,966,924
627,Piispansilta,69,71,886,913
10,Kasarmitori,115,114,877,913
46,Diakoniapuisto,155,159,856,910
86,Kuusitie,148,147,871,906
105,Tilkantori,138,136,963,894
245,Kulosaari (M),143,120,902,892
35,Cygnaeuksenkatu,124,127,813,861
517,Länsituuli,82,83,860,850
579,Niittymaa,80,76,856,842
114,Ratapihantie,158,161,810,841
32,Eläinmuseo,122,135,828,835
