Departure station id,Return station id,trip_count,total_distance_m,total_duration_s
1,1,96,174070.0,117899
1,2,20,39187.0,21620
1,3,24,58602.0,31752
1,4,28,46149.0,19372
1,5,25,39389.0,28926
1,6,99,199199.0,87177
1,7,11,17195.0,8100
1,8,21,45892.0,18218
1,9,26,65873.0,23163
1,10,18,29037.0,11447
1,11,63,145479.0,51103
1,12,83,295538.0,89167
1,13,10,36378.0,10849
1,14,18,43178.0,15815
1,15,8,25692.0,7045
1,16,43,137590.0,41421
1,17,6,19347.0,6166
1,18,4,7565.0,2723
1,19,19,44888.0,16658
1,20,4,13674.0,4780
1,21,10,33703.0,9960
1,22,18,64375.0,21841
1,23,5,13679.0,5214
1,24,19,42761.0,17826
1,25,11,32150.0,12608
1,26,21,57218.0,33082
1,27,8,15986.0,5862
1,28,6,14590.0,4464
1,29,18,51476.0,18065
1,30,88,266568.0,94635
1,31,11,38459.0,13735
1,32,2,10817.0,2863
1,33,6,19711.0,7131
1,34,2,6253.0,2467
1,35,1,3242.0,1798
1,36,9,32431.0,14771
1,37,10,37000.0,11344
1,38,4,17396.0,5647
1,39,10,43412.0,14712
1,40,45,186648.0,56075
1,41,18,84993.0,26463
1,42,3,14088.0,3758
1,43,4,15901.0,6855
1,44,7,42892.0,12331
1,45,5,28520.0,7950
1,47,58,120694.0,43929
1,48,32,94342.0,33382
1,49,23,45179.0,18358
1,50,8,44374.0,15862
1,52,4,20374.0,5324
1,53,3,14228.0,3772
1,54,5,25682.0,6726
1,56,7,42072.0,11051
1,57,7,32739.0,9208
1,58,21,90562.0,29974
1,59,7,25322.0,7423
1,60,5,17143.0,5025
1,61,10,34558.0,14669
1,62,38,104170.0,40131
1,63,57,171280.0,66233
1,64,27,82478.0,27400
1,65,57,90486.0,33105
1,66,31,34504.0,18930
1,67,36,57281.0,22015
1,68,11,17091.0,7412
1,69,9,26425.0,8542
1,70,5,19725.0,6341
1,71,28,111049.0,37960
1,72,28,116941.0,38839
1,73,9,41954.0,11715
1,74,3,15283.0,4346
1,75,5,22813.0,6563
1,76,9,45309.0,12340
1,77,8,39435.0,11358
1,78,5,26083.0,7978
1,79,1,5707.0,1607
1,80,2,9525.0,2782
1,81,7,37329.0,10758
1,82,3,15958.0,4477
1,83,2,13776.0,3105
1,84,2,11779.0,5324
1,85,2,13622.0,4560
1,87,2,10677.0,2745
1,91,1,7172.0,1807
1,92,3,21529.0,4886
1,96,1,7216.0,1924
1,106,3,20077.0,4039
1,111,1,5660.0,1718
1,112,1,5580.0,1432
1,113,9,52222.0,14010
1,116,3,15246.0,4434
1,117,1,5972.0,1534
1,118,1,5317.0,1291
1,119,3,17595.0,5483
